"""Why is this page a thing?""
It's messy but
will make it pretty later.",,,Berkas,Void (R),Void (G),Void (B),WB (1),WB (2),WB (3),WB (4),WB (5),WB (6),Raids,Raid (17),GoC,Chasm,Boss,AoT,AoT (2),AoT (3),AoT (4),AH (1),AH (2),AH (3),Merc,GB,FC,FC 2,FC 3,PvP ATK,PvP DEF,Arena
,,Zero,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,
,,Harpe T,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,
,,Edel,,❌,,❌,❌,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Esnar,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Nepteon,,❌,,❌,❌,❌,❌,,❌,❌,,❌,,,,❌,,❌,❌,,❌,❌,,,❌,❌,,❌,❌,❌
,,Sol,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Jin T,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Tia T,,❌,,❌,❌,,❌,❌,❌,❌,,❌,,,,❌,,❌,❌,,❌,❌,,,❌,❌,,❌,❌,❌
,,Elesis S,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Bram,,❌,❌,,❌,❌,,❌,❌,,,❌,,,,❌,❌,❌,,❌,❌,,,,,❌,❌,❌,❌,❌
,,Callisto,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Elesis,,❌,❌,,❌,❌,,❌,❌,,,❌,,,❌,❌,❌,❌,❌,❌,❌,,❌,❌,,❌,❌,❌,❌,❌
,,Amy T,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Werner T,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Lass,❌,❌,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Decanee T,,,❌,❌,,❌,❌,❌,,❌,,,,,❌,,❌,,❌,❌,,❌,,,❌,,❌,❌,❌,❌
,,Lapis T,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Lire T,,,❌,❌,❌,❌,❌,❌,,❌,,,,,,,❌,❌,❌,❌,,❌,,,❌,,❌,❌,❌,❌
,,Ercnard,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,
,,Europa,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Dio,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,
,,Asin T,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,
,,Arme,❌,❌,❌,❌,❌,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Ganymede,,❌,,❌,❌,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Cindy T,,❌,,❌,❌,❌,❌,,❌,❌,,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌,,,❌,❌,❌,❌,❌,❌
,,Rufus T,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Ryan T,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Ley,❌,❌,❌,❌,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Mari,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Myst T,❌,❌,❌,❌,❌,❌,,❌,❌,❌,,❌,,❌,,❌,❌,❌,,❌,❌,❌,,❌,,❌,❌,❌,❌,❌
,,Rin T,❌,❌,❌,❌,❌,❌,,❌,❌,❌,,❌,,,,❌,❌,❌,,❌,❌,❌,,❌,,❌,❌,❌,❌,❌
,,Scarde T,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Veigas,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Vice,,,❌,❌,❌,❌,❌,❌,,❌,,,,,,,❌,,❌,❌,,❌,,❌,❌,,❌,❌,❌,❌
,,Hwarin T,❌,❌,❌,❌,❌,❌,❌,❌,,❌,,❌,,,❌,❌,❌,❌,❌,❌,,❌,❌,❌,❌,,❌,❌,❌,❌
,,Ronan T,,,❌,❌,❌,❌,❌,❌,❌,❌,,❌,,❌,,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Arme S,,,❌,❌,❌,❌,❌,❌,❌,❌,,❌,,❌,,,❌,❌,❌,❌,❌,❌,❌,❌,❌,,❌,❌,❌,❌
,,Ai,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,
,,Harpe,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Nelia,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,
,,Io,❌,❌,❌,❌,❌,,❌,❌,❌,❌,,❌,,❌,,❌,,❌,❌,,❌,❌,❌,,❌,❌,,❌,❌,❌
,,Europa T,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Mari T,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Veigas T,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Uno,❌,❌,❌,❌,❌,,❌,❌,❌,❌,,❌,,,,❌,,❌,❌,,❌,❌,,,❌,❌,,❌,❌,❌
,,Lapis,,❌,❌,,❌,❌,❌,❌,❌,,,❌,,❌,❌,❌,❌,❌,❌,❌,❌,,❌,❌,,❌,❌,❌,❌,❌
,,Lire,❌,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Mayden,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,❌,❌,,,❌,❌,❌,❌,❌,❌,❌
,,Werner,❌,❌,❌,❌,❌,❌,❌,❌,❌,,❌,❌,❌,,❌,❌,❌,❌,❌,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌
,,Lire S,,❌,❌,,❌,❌,❌,❌,❌,,,❌,,❌,❌,❌,❌,❌,,❌,❌,,❌,❌,,❌,❌,❌,❌,❌
,,Rufus,❌,❌,❌,❌,,❌,❌,❌,❌,❌,❌,,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,❌,,❌,❌,❌,❌
,,Edel T,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,❌,❌,❌,❌,❌,❌
,,Ganymede T,❌,❌,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,❌,❌,❌,❌,❌,,❌,,❌,❌,❌,❌
,,Lass T,❌,❌,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Deia,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,
,,Ragnar,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,
,,Bastet,,❌,❌,❌,❌,❌,❌,❌,❌,❌,,❌,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,
,,Decanee,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Cindy,❌,❌,❌,❌,❌,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Scarde,❌,❌,❌,❌,❌,,❌,❌,❌,❌,❌,❌,,❌,❌,❌,,❌,❌,,❌,❌,,,❌,❌,❌,❌,❌,❌
,,Esnar T,❌,❌,❌,❌,❌,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Nelia T,,❌,,❌,❌,,❌,❌,❌,❌,,❌,,❌,,❌,,❌,❌,,❌,❌,,,❌,❌,,❌,❌,❌
,,Grandiel,❌,❌,❌,,❌,❌,,❌,❌,❌,❌,❌,,❌,❌,❌,❌,❌,,❌,❌,❌,❌,❌,,❌,❌,❌,❌,❌
,,Urara,,❌,❌,,❌,❌,,❌,❌,,❌,❌,,,,❌,❌,❌,,❌,❌,,,,,❌,❌,❌,❌,❌
,,Ley T,,❌,❌,,❌,❌,,❌,❌,,❌,,,,,❌,❌,❌,❌,❌,❌,,,,,❌,❌,❌,❌,❌
,,Amy,❌,❌,❌,❌,❌,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Io T,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Mayden T,❌,,❌,❌,,❌,❌,❌,,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Zero T,❌,,❌,❌,,❌,❌,❌,,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Lime,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Ragnar T,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,
,,Hwarin,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,❌
,,Rin,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,
,,Arme T,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,
