Content,Key
World Boss Phase 2,Tia(T)_Veigas(T)_Deia_Nelia(T)_Selena_V1_24602F3B30834B34D7E7A5FF79DCA3156B8CCCAA0EA2837BF7670383469AF9F34DCBCE977BE2820E74DA94A0B907F68175368956856FFC13F5AD172C242E6ABE4B5CDF0B3CD4FB971C10C795D546B26F1FCA7C0E0332097E90570BD1F18EFC807E8F4F25A0F109925A7EB3F34F1DF70512D93F6DBE8E95475AA6051692911058
World Boss Phase 3,Rin(T)_Serdin(T)_Brammashell_Ley(T)_Niah(T)_V1_4C8EE9874ADE8DDFCD2B654F0AEB6660470C579E656BC4EBD044FB5B8E674F1C2328689E96F342C0FEE8765BE5A1A5818618972453C6B83572ACBE835F514CA6112E4398BDCA9192D484E67C34F75495913006B28531E08D05CADCAC80E05D9FB83A3191C6931833C41E32D1C258784A71573F98697EF6B036DA1318FAFFBF92
World Boss Phase 4,Sol_Rufus(T)_Ryan(T)_Kanavan(T)_Kroo_V1_B1299C04CB17BBFEDA1F06C6E824B3FAE9F7CDD0374A0B19AAC0CE1D8AE0D10754F8A1B4F22601CE4F12A3BE7CD1FA5EA15FC9AFD363BCBD5A5E9F5BE8E73AB6C7E12C56881F93442CE8AD1A95AA1AC749FB08B325936BEDD0DB9B6F82EA56C51CE78219EFF9D888F4F926B270CD0A867197CC2643EDB1505BD9154B261C17E1
Sea of Eternity (Balance),Lapis(T)_Lire(T)_MyungHwarin(T)_Zero(T)_Reruby(T)_V1_5A4D513E2D9C758CC36B21270AD425B3160E2E5B42DF1B33445D3F5482D9856DE1FB1336BE42EA44E4DD31E3748D3B32DB278612FF55243F031943A1BCDEDAF85B3BEC4A73D46CCDFFC97493A5EC5C55C839002CA63D5D46842C42F27AA54A0AAC10A39A14A587315303032FB7015D2F1A6F35129B0872536BB7C97EA5075C45
Sea of Eternity (Retribution),Callisto(T)_Veigas(T)_Jin(T)_Nelia(T)_Nelion(T)_V1_21394D9A253D2EE272654063CFA6707DFA69FB9AF326E20FB561A4419E3D16F579EBC537D77B6B7BEE652EF1F3279D35A0AFA0EAC1708B075E77F0D82B9045C622D65D77E40E10F8C28BB63622FE2FC36A2F969F510F79A78488F35E54843064653CF3C858BFDB939CA5985405962EA633336EEE32C88AAC98FBA283253E9D97
Sea of Eternity (Life),Ercnard(T)_Brammashell_Rin(T)_Ley(T)_Niah(T)_V1_FED210073056EBE934DFFB0404A5455E844ED2B664C372BB1A38B1AB3316EE6B42BF8B4B66DA9D2A91FB43B2D7F5A0B22BBEC2FB2F125AA87DFEA5B5433FCAF1DC665A5C34A583BA4BFD73623076E1F08DE0758EA73C4DB3F2B46E45E5C3F6D261606230765BA3EAC3EDD658820F5EDB16722AD5188B11BCAD1DC8F0EADBC17F
Guild Boss - Scarde (T),Brammashell_Rin(T)_Serdin(T)_Ley(T)_Lisianthus III_V1_3CB5C5D559789C9A7D40CDE1A7B7AC3B08BBC389BB98194D23551E71293F40BC0D7F961EE101D44564CC45CE77353BB17509148E2656FF74CE5544491EAA83CB9C59552BC997767949F25983B0FE29424A1F28F8C368A979EF536D4DC9417CEC5BF81131FC803730D400631EE4283476EA7B478AAC4A844595187FEC7436E853
Guild Boss - Mari,Brammashell_Rin(T)_Mari_Ley(T)_Lisianthus III_V1_A9F94D0120E865E74AD2F0365F4165EFC5C05D6E570AAE6CF539FB051545C1075C252EB950C3CDF1608C7222495559396D5601FB283A66C19BD36D1E159D3BE826D7B05D7216E2F5BB19CFA654B80E35A2CCF0F94A493749652FF3EDE3157C88CB2AD372F16569839596E365FAE4C8D8806CCAB56B63EAD7A23C78271DC1BFD9
Raid 15,Brammashell_Tia_Mari_Ley(T)_Niah(T)_V1_D5A6D08173173965CBA0772340394DB8C625372D6D08BEE16A301F27BA4B900AC8163EA15760E0BFC5AC63F833CB3DFC19691138F2AD8B89B9A6CD1C26ABB72903E65325490B92EDDDD2E08DA6073F1E1540336B4B522C5469A2E7C6BC219473EB0BDF256DF12E84F7C79024E21C3FC15BA3E4464E32CE94F9FAA9AD0A35CEC93B1ED066F8846AE47E67E6A4DFCB8400
,Tia(T)_Veigas(T)_Bastet_Nelia(T)_Nelion(T)_V1_DBCF85A1597329DE24DBFFF45DC88B5B16451D17F4C744F1F18DAEEFBAE2396BBCCD24D7EF61876CF420E8A41A6773C2DB9CB8A574CC6C92E367872D4526EA9FF4633F8FBFDA70D40416270C91E9F5C1E5FFE7006C2A3B1264533C308F55C2CD37ACC86982E663C9B0566B93C2B382A769B86817DF1CC4B74C198CA916D12EF7E1F40D8771405F9C37248447994F7785
Vulcanus Rank 12,Jin(T)_Veigas(T)_Elesis(S)_Nelia(T)_Elion(S)_V1_11EC2D2003A2D4D2F501AE74FC75F6932E815D29E5BD7D66ED0F5E61DE7BD85335B386CE0265C4E4EBF8021ECFA2949925BA27FDA484B08A1EA4793760044B74067F5779C96AC1C0A6AA7BDFD4218F1BD205BB90062F8C967A3632FFE350C736ABFDF742CE95B437B1272B0FE54C50378D494AC8DD227787DFB1CE382241C404
Knight Exam 1,Lapis(T)_MyungHwarin(T)_Werner_Veigas_Hwarang(T)_V1_93ACC7A02D19F00AE21EBC8500F869D9BAA220E1A6DA994500A21DE30EDFA015FC3BD991660F483639D6D397B066A387752BEFF17F06BFF64DC0588F684AAFDA4BCA123519040D0BF96E03147F333E05CCA7B29B188D44055847DE7E234CA1F74E9404D10C3A9FA8B693B545F168CE38791595691E2C3B343694BEEAAE774499
Knight Exam 2,Tia(T)_Ryan(T)_Rufus(T)_Nelia(T)_Nelion(T)_V1_F135664A6CD8D91B7E9E3936AC4553DF8EA93B7BD5882E254D414DF5A094080CC35964BCA6B44CB5858213A9721E31A0770C62B911F9BAE0CF7F509F5BB52B23860EC4564878EB06D671AD5FBBE36E5B94D750BBFBD0473086451219871C4B80B4DBB01125C3D6612C2E21A332A0EC5F4BA574542759D8EB4BA7A6D5846E55DC
Knight Exam 3,Brammashell_Lapis_Werner_Ley(T)_Niah(T)_V1_01B450840D7C94DBC76F354F611CD9F57802553B73B4EE4794C2D3366E824869C32BE631B72FE085BCAA8FEA64580F15051D4A084772F942FD399DC90F89DBFDCB7078B33548E27F3E17DFEB65CE16D97B39FBEE67FD7F4D3CE8DC351C78848205E4B34F63C2CFB8F269B0DC5A1F9A91EBA058B8A1E49DFFF304A1E8C3639C2F
Berkas - Aerial Battle,Tia(T)_Callisto(T)_Rufus(T)_Nelia(T)_Nelion(T)_V1_8710645D541BC3E235C4C55BBEF116B8C467FE044280C6D19F41BC875CE347D5DB6191BEC2A8292310F5161D0B4BCD1E667D2622EE84183E6C59C0C23B0662830512D051AC8E623D78DC96AF914A327BA0CAEA19651CE7E9EB0A3FFD5731BE24294BD05D70988860981195EE96BB4EA959406A40CF366281E3FFFCDEDF2E7B98FBBF3EBB6FF707348A80DEB48377984F
Berkas- Siege of Ballista,Myst_Deia_Ai_Ragnar(T)_Phoenix(T)_V1_6CBF3C6640BCFB83EF4D32615818A19E60565C2C9B08A0C74A3A8EEB331C6F28282771FDA7AE9BC7F6BB8D6C7C976C3F3AF6291F7041B6A671FA744B121102435D1C3E5EA73105DB679CF95F9352D2439380785BEF145E05A53AA9F7E1E0C8C3727CE8A81CC14BBA522B34602E448B61DE40F5F3A249D82615CEA6C29DD60E3C
Berkas - Activate Blockers,Zero_Asin(T)_Bastet_Arme(T)_Bascat_V1_55D3E3895BCD0F4DA480C0C345E92830F83525273A9C1B242F7BA2F8921BB559414AA657518F5DC433B0B8BC46F87D5180E565AB0D811467ACEF0A16B8B050B2177C66B6221093DB4362B5470186B7C8C9B4D634C294D8AAA7BF6813FF85AB7D8AE1842580CBF573DD1D928107B44638E506BCD3EF5650C889BB668CB34B0353FFE6F4C07312B2884ADFD59689F4D108
Berkas - Shot Down,Lime(T)_Lire(T)_Arme(S)_Zero(T)_Reruby(T)_V1_9F9954B9DC6B6F175846A4239B4CD0077102666B46596CD5C4AF571BD46EE614DC46C2D79E5CF1C2C4C56EF6164FD2BA0DE6BC56EDD0639626BB047E7E1918C51FB9E93E33CD00FC630D7E4F06628BE0BAB546DE9E116B7AAEF2F51EA1DFC64EB5F1568822E43C89C4ACE1951C7B62C5EEB52BF5D38EB906BBDF039595580490
Berkas Showdown,Ercnard(T)_Brammashell_Lapis_Ley(T)_Muse(T)_V1_B427A645F3A1D82FF1A0E01DAF3A99E58790793C2F98B529C26FEA3D463C364AA357E0FC66E144635952E3B17353DB4D52FD8D16C380F90DA59281591BC43A21C7AA6361BB05485866830650E600222F10F4CE7A4DC5B243F21D41674EBE20330696CBA266BA49A5AEA16C73BF39BEBD58D49D7FA5297D55E2DEE9A8344F45E0
General Content (Retribution),Callisto(T)_Jin(T)_Veigas(T)_Nelia(T)_Nelion(T)_V1_3A91E846D838E93098FACD9E5F4E02A4835E660287A1BDD9EEEF0E991BAC549DA193EA08F2B4C114CB3A8BADC0BDBDF70C58BBC2BBF59D6810D6968DF535D0A30D2AE9C5431B9458BF964C284696395C8A91FA125B5230AFB46C6FE705639BB15219F23C783F9DC5A97BBB1346EFBA77B25BC9FC19AD23EBD24EC1A7F2AA1C80
General Content (Retribution),Callisto(T)_Sol_Rufus(T)_Nelia(T)_Kroo_V1_D9C1B860AE145C726C0A5A8AA39FC8E898360E0060AEC35C6610918C964A135A54BF9D0CB44E0B7DA271D9C6A8426E687150D6E8F7CFEDB04F290DFA7E65C3A606C7ADFD559CF9C5C27A766B61391A8C8DBE29B7FA76ED6FEE4CDEFEB80FC5AA20F761D20E5CD973F09602CAFD936754DFB6B06ECC72599D41198FC8462E19F6
General Content (Balance),Lime(T)_Lire(T)_MyungHwarin(T)_Zero(T)_Reruby(T)_V1_BE2F598FB90625C4328792AA01EFC6108332C22FE3958E67E0BFB12EBCA632BACD9B21B84BF3D61C79B138FD4B7C46F72214765BF4478DA130F3A59590DC9555DC33518D0E65CD769F5DAC8270AFA1ECF7B1C0D3DA545A41B8E0E48F03399827EAC6DD05C878621D4C3800B05305F2E36B0A010B0B5188BA01C796AC6DD0A8D9
General Content (Balance),Lapis(T)_Lire(T)_MyungHwarin(T)_Zero(T)_Reruby(T)_V1_BE2F598FB90625C4328792AA01EFC610C8CC34B77C13E6183BC8276F09EBB1978893A660173092D6EEFE9983AD303AB10562675CDBA92E81BFCEE922B7149E65DC33518D0E65CD769F5DAC8270AFA1ECF7B1C0D3DA545A41B8E0E48F03399827EAC6DD05C878621D4C3800B05305F2E36B0A010B0B5188BA01C796AC6DD0A8D9
General Content (Life),Tia_Brammashell_Lapis_Ley(T)_Niah(T)_V1_815E4008464E8EB6D235A8014CFB67648F988A6D8AC6A9F93BBB89F3209825AD5747D76DC07652E46E9157829B6A5837BC7D1CB73D926BD4FF9A9D99B8C5F464881AC236C193C24B8E8B8E9C016A73F8D87C280D4B96A526786470D8904E2068642CEF2BC88FBC0D11FABCF484CAE5438992C8B4202486D8F7E1B7C14584D8F9
General Content (Life),Tia_Brammashell_Rin(T)_Ley(T)_Niah(T)_V1_29760A25A7CC608D7E8ADFE264A4C46AC4DDD55FB28F61B339EBE2E941E003115AEDB267F7F3A6D2410A1ED8234971CA18A4E4ED5C4AD13A2788BBA7E78883DB2C41D543F286A57363E0FDF874715B5DC2626687D02316D296838CDDB2A1D7DC576B3FE240B32C657577F059E75C0E9E8E342C396B71D0B400940CC7310FC7C8415B8BA64D8E3EADAB988DFF14418FAC
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
