"Attributes","","","","","","","","","","",""
"Grand Chase heavily favors attributes—matching them grants up to 60% extra damage on top of the base buff.","","","","","","→","→","Retribution","Life","Balance","Retribution"
"","","","","","","This is your first direct BP boost. Level all classes evenly with Fragments, then use Blessings to max Mages and Rangers first, followed by Assaults. Tanks and Healers can wait.","","","","",""
"","","","","","","Maxing Hero Training (HT) is a time-gated grind. Lol. Have fun.","","","","",""
"Support Party: You Made It To World 3 !","","","","","","","","","","",""
"Upon reaching World 3, you unlock the ""SUPPORT PARTY"" feature, allowing you to borrow 2 fully invested SR units for story mode. This speeds up PvE, & with just your own Tank & Healer, you can realistically clear the story.","","","","","","","","These two will carry you through Worlds 3 – 9. Maybe even 10. Meanwhile, start building Ai (T) or Callisto (T) to prepare for the steep difficulty spike in World 10 or 11 & beyond when attributes become important.","","",""
"","","","","","","Veigas","Werner","","","",""
"Click the arrow next to your party selection. You will see SUPPORT PARTY!","","","","","","2 SUPPORTS + 2 OF YOUR OWN UNITS","","","","",""
"Where To Spend Gems","","","","","","","","","","",""
"","","Get at least 4 Bosses, the other 1 being whatever you need after","","","Shop
↓
Item
↓
Item","Buy Valor Once A Week !
Hero Training is a passive grind for boosting BP","","","","Reset Daily
If your gem income is not high enough to sustain this, only reset Wiz's Lab",""
"Expedition Slots","","","","Valor","","","","Wiz's Lab","Annihilation","",""
"","Reset Raid
Daily","Even after you complete your equipment, you will need the mats for Slots, which is another upgrade system","","","","","Weekly
[End Game]","After the previous have been done, buying these is an option. Only really for end-game.","","You do not use gems to summon units. Grinding the game will give you enough Royal Tickets to pull all units you need. Your select tickets & Assembly picks to get everyone!",""
"Reset Raid","","","","","","Relics","","","","",""
"Content To Play: Understanding Each Mode Available [WIP]","","","","","","","","","","",""
"","","The two dailies reward you with Gold.
Daily Boss also rewards you with accessories that can be fused for a chance to obtain Tiered Accessories","","","","","Gold is used for quite literally everything. For Daily Bosses, if your stock allows it, attack Gardosen daily. On Saturday & Sunday, kill Mercuria, as she offers the most gold. Weekends have a Daily Bonus of 50% more gold from Daily Boss.","","","",""
"DB","Wanted","","","","You will never be rich...","","","","","",""
"","","Defense is your daily source of awakening cubes & chaser crystals.
Annihilation gives Chaser Crystal & Soul Imprint Cubes.
You need Chaser Crystals for Soul Essence, so these two modes go hand in hand during character progression.","","","","","","","It's rec'd to Gem annihilation daily, if your income allows it, as Growth Cubes are essential. Essence isn't too much of a gatekeep the more you play, but you may always need Cubes","",""
"Defense","Annihilation","","","","","","Cubes","Essence","","",""
"","Aernasis Entry Cubes
S Rank
Every 2 Days","","","","PvP = DAILY: Gives you Yellow Gems, which summon Growth Cubes for a specific hero; you need to do at least 5 PvP matches a day to capitalise off of this
Arena = WEEKLY: Gives everything accessory related. Tiered Accessories are mainly grinded here.","","","","","",""
"Wiz's Lab","","Entry Cubes","PvP","ARENA","","","","","","Gems","Accessory"
"","Gives a bit of everything
Each of the five stages are attribute gated & there are specific DMG types needed to do damage.","","","","Rewards you for reaching certain milestones with a bit of everything. Similar to Berkas, it's very racist to attributes & certain types of DMG. After a certain point, you will be deploying your best score for Guild Points weekly.","","","","Kill the squid! Kill her! Hit her! Beat her! Stuff like Relics material & Growth Cubes! Rob her! Although she has hands...","",""
"Berkas","","","","World Boss","","","","Sea of Eternity","","",""
"","","Three different mob related stages. This mode is where you grind stones to either transcend your Main Weapon or promote your slots. This mode is highly attribute racist but can be done [even if just barely], with varying results, with either mages or rangers, excluding part 1","","","","","","The stones are used for promoting slots & transcending weapons. Trust when you're told the RNG for slots is horrible. You will be farming forever & you will love it
[Invest In Hammers]","","",""
"Aernasis Hammer","","","","","","","","","","","Hammer"
"","Stages that spawn the most random heroes for you to take down. Rewards you with artifacts & artifacts shields. Farming this goes hand in hand with the Exchange Market, being a nice gold farming simulator","","","","","","","","","Dungeon & PvP challenges!
Floors get harder the higher you go up.",""
"Altar of Time","","","","","Exclusive Weapon Stuff","","","Trial Tower","Hero's Tower","",""
"","","Every so often, more times than probably needed, the game has events & battlepasses that will reward you with... a bit of everything. Being active while they are around can be beneficial for you. Don't be enticed to spend, though. Unless...","","","","BP Guide","","","","",""
"Rewards","Events","","","","","???????","","","","",""
"Equipment [WIP]","","","","","","","","","","",""
"There is a questline for equipment when you reach a certain point in the game. The equipment they give you can be skipped entirely in favor of crafting the highest tier [or 2nd highest] of equipment available","","","","","","","","","","",""
"","Raid will give you material to craft weapons & armor. It's rec'd to craft the highest you can at first, skipping the level penalty. This can be done by doing BASIC Dual Raid, letting other players carry you. Just bring a healer that regens SP & a good tank!","","","","","As for as doing raid goes, you can bring support units required for Raid & ask for help online! Being carried is a plus for both players. If you cannot do the latest Raid on release, or upon you starting, don't worry. Basic Raid is still better than running Solo Raid. Get carried!","","","","",""
"Raid","","","","","","","","","","",""
"All equips have additional stats & enchantable substats.
You can set a weapon with maxed crit chance on one preset & one with max cooldown reduction on another for the same class, equipping them to heroes that require whatever substat over the other. This means that you generally want multiple sets for each class based on different stats/enchants. Presets can be shared for multiple characters of the same class.","","","","","","Additional Stats: Require material from Dual Raid to reroll
Enchantable Substats: Can be acquired from DB & Dungeons
[Don't buy them from the Guild Shop]","","","","",""
"Teleport to the Equipment Tab !","","","","","","Recommended to Reset Raid at least once daily & Chasm at least once weekly.
Even after you finish crafting equipment, upgrading slots will have you down bad horrendously without doing so.","","","","",""
